,pmcid,part,tokens,term_frequency
174,PMC3740239,A survival guide to simpson's paradox,often,4
175,PMC3740239,A survival guide to simpson's paradox,unlikely,1
176,PMC3740239,Simpson's paradox in biological psychology,unlikely,1
177,PMC3740239,Simpson's paradox in individual differences,often,1
178,PMC3740239,Simpson's paradox in individual differences,probability,2
179,PMC3740239,Simpson's paradox in individual differences,unlikely,1
180,PMC3740239,Simpson's paradox in real life,frequently,1
181,PMC3740239,Simpson's paradox in real life,likely,3
182,PMC3740239,Simpson's paradox in real life,often,4
183,PMC3740239,Simpson's paradox in real life,possibly,1
184,PMC3740239,Simpson's paradox in real life,probability,2
185,PMC3740239,Simpson's paradox in real life,usually,1
186,PMC3740239,"What is simpson's paradox?Strictly speaking, SP is not actually a paradox, but a counterintuitive feature of aggregated data, which may arise when (causal) inferences are drawn across different explanatory levels",likely,1
187,PMC3740239,"What is simpson's paradox?Strictly speaking, SP is not actually a paradox, but a counterintuitive feature of aggregated data, which may arise when (causal) inferences are drawn across different explanatory levels",probability,1
188,PMC3740239,abstract,likely,1
189,PMC3740239,abstract,often,1
190,PMC3740239,conclusion,probability,1
191,PMC3740239,footnote,unlikely,1
192,PMC3740239,introduction,frequently,1
193,PMC3740239,introduction,likely,2
194,PMC3740239,introduction,often,1
195,PMC3756616,abstract,likely,1
196,PMC3756616,method,likely,1
197,PMC3756616,result,always,1
198,PMC3756616,result,maybe,2
199,PMC3817104,abstract,often,1
200,PMC3817104,discussion,likely,4
201,PMC3817104,discussion,possibly,1
202,PMC3817104,discussion,probably,1
203,PMC3817104,introduction,likely,3
204,PMC3817104,introduction,often,2
205,PMC3817104,introduction,probability,1
206,PMC3817104,introduction,usually,1
207,PMC3817104,method,always,1
208,PMC3817104,method,frequently,1
209,PMC3817104,method,probability,1
210,PMC3817104,result,usually,1
211,PMC3846512,,often,1
212,PMC3846512,"INVENTORIES (SCALES) FOR ASSESSING STUDENTS’ ATTITUDESPen-and-paper assessments used to gauge psychological characteristics such as attitude are commonly referred to interchangeably as inventories, surveys, instruments, or measurement scales. Psychologists use such tools to assess phenomena of interest, such as beliefs, motivation, emotions, and perceptions that are theoretical constructs not directly observable and often composed of multiple facets. The more psychologists know about the theoretical underpinnings of a construct, the more likely they are to develop reliable, valid, and useful scales (De",often,1
213,PMC3846512,"INVENTORIES (SCALES) FOR ASSESSING STUDENTS’ ATTITUDESPen-and-paper assessments used to gauge psychological characteristics such as attitude are commonly referred to interchangeably as inventories, surveys, instruments, or measurement scales. Psychologists use such tools to assess phenomena of interest, such as beliefs, motivation, emotions, and perceptions that are theoretical constructs not directly observable and often composed of multiple facets. The more psychologists know about the theoretical underpinnings of a construct, the more likely they are to develop reliable, valid, and useful scales (De",usually,2
214,PMC3846512,RECOMMENDED STATISTICAL ANALYSES FOR ATTITUDINAL DATADichotomous Items,likely,1
215,PMC3846512,RECOMMENDED STATISTICAL ANALYSES FOR ATTITUDINAL DATADichotomous Items,never,1
216,PMC3846512,RECOMMENDED STATISTICAL ANALYSES FOR ATTITUDINAL DATADichotomous Items,often,1
217,PMC3846512,RECOMMENDED STATISTICAL ANALYSES FOR ATTITUDINAL DATADichotomous Items,probability,2
218,PMC3846512,abstract,often,1
219,PMC3846512,analysis,always,1
220,PMC3846512,analysis,likely,3
221,PMC3896840,background,likely,2
222,PMC3896840,background,often,3
223,PMC3896840,discussion,rarely,1
224,PMC3896840,method,likely,1
225,PMC3896840,method,probability,1
226,PMC3922016,abstract,possibly,1
227,PMC3922016,conclusion,likely,2
228,PMC3922016,introduction,often,1
229,PMC3922016,method,likely,1
230,PMC3973913,abstract,often,1
231,PMC3973913,abstract,probability,2
232,PMC3973913,discussion,frequently,1
233,PMC3973913,discussion,likely,3
234,PMC3973913,discussion,often,1
235,PMC3973913,discussion,probably,1
236,PMC3973913,discussion,unlikely,3
237,PMC3973913,introduction,likely,2
238,PMC3973913,introduction,often,1
239,PMC3973913,introduction,possibly,1
240,PMC3973913,introduction,unlikely,2
241,PMC3973913,introduction,usually,1
242,PMC3973913,method,never,2
243,PMC3973913,method,probability,9
244,PMC4005932,abstract,often,1
245,PMC4005932,introduction,always,1
246,PMC4005932,result,possibly,1
247,PMC4033598,discussion,always,1
248,PMC4033598,discussion,frequently,12
249,PMC4033598,introduction,frequently,1
250,PMC4033598,introduction,often,1
251,PMC4033598,method,always,2
252,PMC4033598,method,frequently,1
253,PMC4033598,method,never,1
254,PMC4118944,abstract,often,1
255,PMC4118944,discussion,often,1
256,PMC4118944,discussion,unlikely,1
257,PMC4122201,discussion,frequently,1
258,PMC4122201,discussion,likely,3
259,PMC4122201,discussion,often,2
260,PMC4122201,discussion,possibly,1
261,PMC4122201,discussion,probably,1
262,PMC4122201,introduction,likely,1
263,PMC4122201,introduction,often,2
264,PMC4122201,method,probability,2
265,PMC4122201,result,likely,4
266,PMC4122201,result,often,1
267,PMC4122201,result,probability,2
268,PMC4126200,Educational benefits of chess,likely,3
269,PMC4126200,Educational benefits of chess,often,2
270,PMC4134233,discussion,maybe,1
271,PMC4134233,discussion,probably,1
272,PMC4134233,introduction,often,4
273,PMC4134233,method,often,1
274,PMC4139712,Re-focusing introductory educational psychology courses,maybe,4
275,PMC4139712,Typical introductory course in educational psychology,never,2
276,PMC4139712,Typical introductory course in educational psychology,usually,2
277,PMC4145501,,often,1
278,PMC4145501,method,often,1
279,PMC4153958,abstract,likely,1
280,PMC4153958,background,likely,1
281,PMC4153958,discussion,likely,4
282,PMC4153958,discussion,probably,2
283,PMC4153958,result,likely,1
284,PMC4154570,,likely,3
285,PMC4154570,,often,1
286,PMC4154570,,usually,1
287,PMC4154570,method,often,9
288,PMC4166224,,frequently,1
289,PMC4166224,,likely,2
290,PMC4166224,,often,1
291,PMC4166224,introduction,frequently,2
292,PMC4166224,introduction,likely,2
293,PMC4166224,introduction,often,5
294,PMC4166224,result,always,4
295,PMC4166224,result,likely,1
296,PMC4166224,result,never,1
297,PMC4166224,result,probability,1
298,PMC4195269,Nature of cooperative learning,often,1
299,PMC4197454,abstract,often,1
300,PMC4197454,discussion,likely,2
301,PMC4197454,discussion,often,3
302,PMC4197454,introduction,likely,1
303,PMC4197454,introduction,often,3
304,PMC4197454,result,often,1
305,PMC4204457,introduction,likely,1
306,PMC4204457,limitation,often,1
307,PMC4204457,method,always,2
308,PMC4204457,method,often,2
309,PMC4204457,method,rarely,1
310,PMC4253699,abstract,often,2
311,PMC4253699,introduction,likely,1
312,PMC4253699,introduction,often,4
313,PMC4340183,"The conceptualization, function, and measurement of interests",likely,2
314,PMC4340183,"The conceptualization, function, and measurement of interests",often,1
315,PMC4340183,The other side of the coin,likely,5
316,PMC4340183,discussion,likely,8
317,PMC4340183,discussion,unlikely,1
318,PMC4340183,introduction,rarely,1
319,PMC4340183,result,likely,1
320,PMC4340183,result,probability,2
321,PMC4364264,background,likely,1
322,PMC4364264,discussion,likely,1
323,PMC4364264,discussion,often,2
324,PMC4364264,discussion,rarely,1
325,PMC4364264,result,likely,8
326,PMC4364264,result,never,1
327,PMC4371648,Experiment,likely,1
328,PMC4371648,Experiment,often,1
329,PMC4371648,Simulation 1,often,2
330,PMC4371648,Simulation 1,probably,1
331,PMC4371648,Simulation 2,always,1
332,PMC4371648,Simulation 2,never,1
333,PMC4371648,discussion,likely,2
334,PMC4371648,discussion,often,1
335,PMC4371648,introduction,often,2
336,PMC4371648,introduction,usually,2
337,PMC4407507,introduction,likely,1
338,PMC4407507,introduction,often,1
339,PMC4407507,introduction,probability,1
340,PMC4407507,method,never,1
341,PMC4407507,result,frequently,1
342,PMC4446912,abstract,always,1
343,PMC4446912,conclusion,always,1
344,PMC4446912,conclusion,likely,7
345,PMC4446912,conclusion,often,3
346,PMC4446912,conclusion,rarely,1
347,PMC4446912,introduction,always,1
348,PMC4446912,introduction,likely,5
349,PMC4446912,introduction,often,2
350,PMC4446912,introduction,rarely,1
351,PMC4446912,introduction,usually,1
352,PMC4446912,method,maybe,1
353,PMC4446912,method,usually,1
354,PMC4461812,Field Testing Grapho,likely,1
355,PMC4461812,Field Testing Grapho,often,1
356,PMC4461812,discussion,likely,2
357,PMC4461812,discussion,never,1
358,PMC4461812,discussion,probably,1
359,PMC4461812,discussion,rarely,1
360,PMC4461812,introduction,always,2
361,PMC4461812,introduction,likely,3
362,PMC4467232,discussion,certainly,1
363,PMC4467232,discussion,likely,3
364,PMC4467232,method,likely,1
365,PMC4467232,method,often,2
366,PMC4467232,method,rarely,1
367,PMC4467233,Current theories of leadership,often,1
368,PMC4467233,Distinctions between leadership and management,usually,1
369,PMC4467233,Implications for leadership in a psychology service,likely,1
370,PMC4467233,Implications for leadership in a psychology service,often,1
371,PMC4467233,Implications for leadership in a psychology service,possibly,1
372,PMC4467233,Implications for training and development,frequently,1
373,PMC4467233,Implications for training and development,often,1
374,PMC4467233,introduction,often,1
375,PMC4468374,ACT and the Strength Model of Self-Control,often,1
376,PMC4468374,Concluding Remarks and Potential Implications,always,1
377,PMC4468374,Concluding Remarks and Potential Implications,often,1
378,PMC4468374,Integrating Attentional Control Theory and the Strength Model of Self-Control,likely,1
379,PMC4468374,Integrating Attentional Control Theory and the Strength Model of Self-Control,often,1
380,PMC4468374,The Strength Model of Self-Control,likely,1
381,PMC4495312,General linear model (GLM) as a rubric for regression interpretation,certainly,1
382,PMC4495312,General linear model (GLM) as a rubric for regression interpretation,possibly,2
383,PMC4495312,General linear model (GLM) as a rubric for regression interpretation,usually,1
384,PMC4495312,discussion,likely,1
385,PMC4501176,abstract,often,1
386,PMC4501176,discussion,likely,1
387,PMC4501176,discussion,never,1
388,PMC4501176,discussion,possibly,1
389,PMC4501176,introduction,frequently,2
390,PMC4501176,introduction,often,4
391,PMC4501176,introduction,rarely,1
392,PMC4501176,method,often,2
393,PMC4501176,method,probability,1
394,PMC4526583,abstract,frequently,1
395,PMC4526583,conclusion,frequently,5
396,PMC4526583,conclusion,maybe,1
397,PMC4526583,conclusion,probability,1
398,PMC4526583,introduction,frequently,2
399,PMC4526583,result,frequently,15
400,PMC4536940,discussion,likely,1
401,PMC4536940,introduction,frequently,2
402,PMC4536940,introduction,often,1
403,PMC4536940,introduction,rarely,1
404,PMC4536940,result,always,1
405,PMC4536940,result,likely,1
406,PMC4536940,result,often,4
407,PMC4536940,result,possibly,2
408,PMC4536940,result,rarely,2
409,PMC4562264,discussion,maybe,2
410,PMC4562264,discussion,often,2
411,PMC4562264,discussion,possibly,1
412,PMC4562264,introduction,maybe,1
413,PMC4562264,introduction,never,1
414,PMC4562264,introduction,often,7
415,PMC4562264,method,always,1
416,PMC4562264,method,certainly,6
417,PMC4562264,method,maybe,6
418,PMC4562264,method,never,2
419,PMC4562264,method,often,1
420,PMC4562264,result,possibly,1
421,PMC4567604,abstract,always,1
422,PMC4567604,discussion,often,1
423,PMC4567604,introduction,always,1
424,PMC4567604,result,always,2
425,PMC4567604,result,often,9
426,PMC4567604,result,usually,8
427,PMC4579054,discussion,likely,2
428,PMC4579054,discussion,often,1
429,PMC4579054,discussion,unlikely,1
430,PMC4579054,introduction,frequently,2
431,PMC4579054,introduction,likely,3
432,PMC4579054,introduction,rarely,1
433,PMC4579054,introduction,usually,1
434,PMC4579054,method,certainly,1
435,PMC4579054,method,often,2
436,PMC4584978,discussion,possibly,2
437,PMC4584978,discussion,probably,1
438,PMC4584978,introduction,likely,1
439,PMC4584978,method,always,3
440,PMC4584978,method,never,1
441,PMC4584978,result,always,1
442,PMC4585799,abstract,often,1
443,PMC4585799,abstract,possibly,1
444,PMC4585799,abstract,usually,2
445,PMC4585799,discussion,possibly,1
446,PMC4585799,method,probability,1
447,PMC4603305,background,frequently,1
448,PMC4603305,background,likely,1
449,PMC4603305,discussion,probably,1
450,PMC4603305,discussion,usually,1
451,PMC4603305,method,likely,1
452,PMC4603305,method,rarely,1
453,PMC4603305,method,usually,1
454,PMC4611308,Study 1Overview,always,1
455,PMC4611308,Study 1Overview,likely,2
456,PMC4611308,Study 1Overview,often,1
457,PMC4611308,Study 1Overview,usually,1
458,PMC4611308,Study 2Overview,rarely,1
459,PMC4611308,discussion,likely,1
460,PMC4611308,discussion,probably,1
461,PMC4611308,introduction,likely,1
462,PMC4611308,introduction,often,2
463,PMC4638310,Implications,likely,1
464,PMC4638310,discussion,likely,1
465,PMC4638310,discussion,possibly,1
466,PMC4638310,introduction,often,1
467,PMC4638310,method,often,1
468,PMC4638310,result,always,2
469,PMC4638310,result,frequently,1
470,PMC4638310,result,never,2
471,PMC4638310,result,probably,1
472,PMC4638310,result,usually,1
473,PMC4642693,discussion,likely,1
474,PMC4642693,discussion,often,1
475,PMC4642693,method,likely,1
476,PMC4642693,method,probability,2
477,PMC4642693,result,likely,2
478,PMC4642693,result,never,1
479,PMC4664401,discussion,likely,1
480,PMC4664401,discussion,probably,1
481,PMC4664401,result,likely,2
482,PMC4700604,discussion,always,1
483,PMC4700604,result,usually,1
484,PMC4707554,Introducing a moratorium phase for emerging adults,probably,1
485,PMC4707554,introduction,often,1
486,PMC4707554,method,frequently,1
487,PMC4707554,method,probably,1
488,PMC4707554,result,always,3
489,PMC4707554,result,never,1
490,PMC4710390,,likely,2
491,PMC4710390,,possibly,1
492,PMC4710390,,probably,1
493,PMC4710390,"MODELING PREDICTORS OF STEM GTA TEACHING SELF-EFFICACYSEMPrior research on GTA teaching self-efficacy has been done using basic correlational, regression, or comparative statistics (e.g., Prieto and Altmaier, 1994; Liaw, 2004; De",likely,2
494,PMC4710390,"MODELING PREDICTORS OF STEM GTA TEACHING SELF-EFFICACYSEMPrior research on GTA teaching self-efficacy has been done using basic correlational, regression, or comparative statistics (e.g., Prieto and Altmaier, 1994; Liaw, 2004; De",usually,1
495,PMC4710390,abstract,often,4
496,PMC4710390,method,frequently,2
497,PMC4710390,method,never,1
498,PMC4710390,method,rarely,2
499,PMC4710390,result,never,1
500,PMC4710390,result,often,1
501,PMC4710401,abstract,likely,2
502,PMC4710401,background,often,1
503,PMC4710401,introduction,certainly,1
504,PMC4710401,introduction,often,1
505,PMC4710401,method,frequently,1
506,PMC4710401,method,often,1
507,PMC4710401,result,likely,3
508,PMC4710401,result,often,2
509,PMC4745267,discussion,often,2
510,PMC4745267,discussion,rarely,1
511,PMC4745267,introduction,often,4
512,PMC4745267,method,never,1
513,PMC4745267,method,probability,1
514,PMC4749348,discussion,maybe,1
515,PMC4749348,introduction,often,1
516,PMC4754652,abstract,likely,1
517,PMC4754652,discussion,likely,3
518,PMC4754652,introduction,likely,2
519,PMC4754652,method,frequently,1
520,PMC4754652,method,usually,1
521,PMC4754652,result,likely,3
522,PMC4757634,Research on and teaching of history of psychology in the German-speaking countries,frequently,1
523,PMC4757634,Research on and teaching of history of psychology in the German-speaking countries,possibly,1
524,PMC4757634,conclusion,frequently,1
525,PMC4757634,conclusion,often,1
526,PMC4757634,future,frequently,10
527,PMC4757634,future,often,1
528,PMC4757634,future,possibly,1
529,PMC4757634,future,probability,1
530,PMC4757634,future,rarely,2
531,PMC4757634,introduction,frequently,1
532,PMC4758272,discussion,likely,1
533,PMC4758272,discussion,maybe,3
534,PMC4758272,discussion,often,2
535,PMC4758272,discussion,possibly,2
536,PMC4758272,discussion,unlikely,1
537,PMC4758272,introduction,often,3
538,PMC4758272,introduction,possibly,1
539,PMC4758272,introduction,unlikely,1
540,PMC4758272,method,likely,1
541,PMC4758272,method,often,4
542,PMC4758272,method,possibly,1
543,PMC4764735,Mixture item response theory models,always,1
544,PMC4764735,Mixture item response theory models,probability,3
545,PMC4764735,Study 1,probability,1
546,PMC4764735,Study 2,often,1
547,PMC4764735,Study 2,probability,2
548,PMC4764735,introduction,probability,1
549,PMC4767925,discussion,likely,1
550,PMC4767925,discussion,often,1
551,PMC4767925,introduction,likely,5
552,PMC4767925,introduction,often,4
553,PMC4767925,method,often,1
554,PMC4767925,result,always,4
555,PMC4767925,result,maybe,3
556,PMC4767925,result,never,1
557,PMC4767925,result,probably,2
558,PMC4773600,Ego Depletion and Athletic Performance,always,3
559,PMC4773600,Ego Depletion and Athletic Performance,frequently,1
560,PMC4773600,Ego Depletion and Athletic Performance,likely,1
561,PMC4773600,Ego Depletion and Athletic Performance,often,4
562,PMC4773600,Possible Interventions,frequently,1
563,PMC4773600,Possible Interventions,possibly,1
564,PMC4773600,abstract,always,1
565,PMC4773600,discussion,always,1
566,PMC4773600,discussion,likely,1
567,PMC4773600,discussion,usually,2
568,PMC4784889,discussion,often,1
569,PMC4784889,introduction,always,1
570,PMC4784889,introduction,likely,2
571,PMC4784889,introduction,possibly,1
572,PMC4784889,introduction,rarely,3
573,PMC4784889,method,probability,3
574,PMC4803730,,often,1
575,PMC4803730,University Instructor Achievement Goals,frequently,3
576,PMC4803730,University Instructor Achievement Goals,often,6
577,PMC4803730,University Instructor Achievement Goals,usually,2
578,PMC4803730,discussion,always,1
579,PMC4803730,discussion,frequently,1
580,PMC4803730,discussion,usually,2
581,PMC4803730,method,often,1
582,PMC4803730,result,frequently,1
583,PMC4804162,Study 1,always,1
584,PMC4804162,Study 1,likely,1
585,PMC4804162,abstract,likely,1
586,PMC4804162,discussion,always,1
587,PMC4804162,discussion,possibly,2
588,PMC4804162,introduction,always,2
589,PMC4804162,introduction,likely,1
590,PMC4804162,introduction,probability,1
591,PMC4806272,A Psychology of Working Perspective on Decent Work,likely,1
592,PMC4806272,Decent Work,likely,2
593,PMC4806272,Moderating Factors,likely,3
594,PMC4806272,Psychology and Decent Work,likely,1
595,PMC4806272,Psychology and Decent Work,unlikely,1
596,PMC4806272,The Increasing Prevalence of Precarious Work,often,2
597,PMC4806272,The Psychology of Decent Work,likely,2
598,PMC4814489,Academic motivation and student homework engagement relationship,likely,3
599,PMC4814489,Student homework engagement,always,1
600,PMC4814489,Student homework engagement,likely,6
601,PMC4814489,Student homework engagement,often,1
602,PMC4814489,discussion,likely,1
603,PMC4814489,discussion,usually,1
604,PMC4814489,introduction,always,1
605,PMC4814489,method,probability,1
606,PMC4814489,method,usually,3
607,PMC4814489,result,usually,1
608,PMC4815532,Concluding remarks,possibly,1
609,PMC4815532,discussion,likely,2
610,PMC4815532,discussion,often,1
611,PMC4815532,introduction,often,1
612,PMC4815532,method,always,2
613,PMC4815532,method,frequently,1
614,PMC4815532,method,never,2
615,PMC4815532,method,often,2
616,PMC4815532,method,rarely,1
617,PMC4815532,method,usually,1
618,PMC4822796,discussion,often,1
619,PMC4822796,introduction,frequently,1
620,PMC4822796,introduction,likely,1
621,PMC4822796,introduction,often,2
622,PMC4822796,introduction,probability,1
623,PMC4822796,method,often,1
624,PMC4828457,Perspectives on Decent Work,always,1
625,PMC4828457,Perspectives on Decent Work,often,1
626,PMC4828457,Perspectives on Poverty,always,1
627,PMC4828457,Perspectives on Poverty,likely,1
628,PMC4828457,Perspectives on Poverty,never,1
629,PMC4828457,Perspectives on Poverty,often,7
630,PMC4828457,Perspectives on Poverty,unlikely,1
631,PMC4828457,Perspectives on Poverty,usually,1
632,PMC4844485,introduction,never,1
633,PMC4844922,discussion,likely,1
634,PMC4844922,discussion,possibly,1
635,PMC4844922,introduction,often,1
636,PMC4844922,method,frequently,1
637,PMC4844922,method,often,3
638,PMC4847115,abstract,frequently,1
639,PMC4847115,discussion,usually,1
640,PMC4847115,introduction,usually,1
641,PMC4847115,result,usually,3
642,PMC4853376,discussion,likely,2
643,PMC4853376,introduction,certainly,1
644,PMC4853376,introduction,likely,1
645,PMC4853376,introduction,often,2
646,PMC4853376,introduction,usually,1
647,PMC4853376,method,always,1
648,PMC4854241,discussion,often,1
649,PMC4854241,discussion,usually,1
650,PMC4854241,introduction,often,1
651,PMC4854241,introduction,usually,4
652,PMC4854241,method,always,2
653,PMC4854241,method,never,1
654,PMC4854241,method,often,1
655,PMC4854241,method,rarely,1
656,PMC4854241,method,usually,1
657,PMC4854241,result,often,2
658,PMC4854241,result,rarely,1
659,PMC4854241,result,usually,1
660,PMC4855035,discussion,usually,1
661,PMC4855035,introduction,likely,2
662,PMC4855035,method,usually,1
663,PMC4873056,abstract,frequently,1
664,PMC4873056,abstract,often,2
665,PMC4873056,discussion,certainly,1
666,PMC4873056,discussion,likely,3
667,PMC4873056,method,likely,1
668,PMC4873056,result,likely,1
669,PMC4873056,result,often,1
670,PMC4886620,discussion,always,1
671,PMC4886620,discussion,frequently,1
